番号,施設名,総合評価,サービス,立地,部屋,設備・アメニティ,風呂,食事
1,京急ＥＸホテル品川（旧：京急ＥＸイン品川駅前）,4.23,3.88,4.69,4.23,3.80,3.64,4.04
2,品川プリンスホテル,3.77,3.62,4.58,3.57,3.55,3.08,3.93
3,アパホテル＜東京潮見駅前＞,4.12,3.81,4.38,3.86,3.90,4.14,4.15
4,東京ドームホテル,4.43,4.27,4.70,4.47,4.11,3.92,4.01
5,グランドニッコー東京　台場,4.53,4.32,4.69,4.61,4.47,4.19,4.38
6,スーパーホテルＬｏｈａｓ東京駅八重洲中央口　八重桜の湯,4.44,4.47,4.78,4.19,4.21,4.32,4.13
7,京王プレッソイン東京駅八重洲（２０１７年８月２８日オープン）,4.15,3.99,4.63,4.21,3.94,3.57,3.50
8,ホテルサンルート有明,4.06,3.81,4.29,4.01,3.80,3.73,3.76
9,京急ＥＸイン羽田,4.28,4.01,4.22,4.44,4.10,3.84,3.47
10,ヴィアイン飯田橋後楽園（２０１８年９月５日オープン）,4.37,4.20,3.83,4.50,4.11,4.00,3.99
11,ホテルニューグリーン御徒町,3.73,3.42,4.08,3.54,3.17,3.33,3.43
12,京王プレッソイン浜松町,4.23,4.07,3.89,4.30,4.06,3.67,3.53
13,三井ガーデンホテル京橋,4.29,4.23,4.49,4.37,4.14,3.97,4.16
14,東京ベイ有明ワシントンホテル,4.04,3.72,4.48,3.92,3.70,3.41,3.94
15,相鉄フレッサイン　新橋日比谷口,4.15,3.81,4.62,3.98,3.87,3.54,3.57
16,京急ＥＸホテル高輪（旧：京急ＥＸイン高輪）,4.09,3.79,4.49,3.99,3.86,3.63,3.66
17,アパホテル＜品川　泉岳寺駅前＞,4.02,3.80,4.37,3.88,3.84,4.00,3.83
18,リッチモンドホテル東京水道橋,4.36,4.15,4.44,4.31,4.23,4.02,3.36
19,明神の湯ドーミーインPREMIUM神田,4.29,4.08,4.28,4.33,4.15,4.55,4.30
20,三井ガーデンホテル銀座プレミア,4.27,4.04,4.28,4.34,4.22,4.21,4.44
21,ヴィアイン東京大井町,4.20,3.92,4.52,4.16,3.87,3.55,3.58
22,京王プレッソイン大手町,4.14,3.93,4.11,4.11,3.79,3.53,3.71
23,ダイワロイネットホテル東京有明（２０１８年１０月１日オープン）,4.37,3.95,4.72,4.66,3.94,4.49,3.87
24,京王プレッソイン神田,4.09,3.95,4.06,4.03,3.76,3.39,3.55
25,京王プレッソイン池袋,4.13,4.03,4.38,4.11,3.87,3.57,3.80
26,レム六本木,4.37,4.00,4.74,4.38,3.90,3.78,3.77
27,京王プレッソイン五反田,4.00,3.86,4.07,3.91,3.72,3.38,3.47
28,アパホテル＆リゾート＜西新宿五丁目駅タワー＞（２０１８年３月２０日オープン）,3.93,3.56,4.18,3.94,3.82,3.98,3.59
29,ＪＲ東日本ホテルメッツ渋谷,4.35,4.17,4.42,4.35,4.09,3.81,3.59
30,京王プレッソイン赤坂,4.24,4.03,4.63,4.27,3.99,3.54,3.80
31,京王プレッソイン日本橋茅場町（旧：京王プレッソイン茅場町),4.18,3.93,4.45,4.07,3.75,3.34,3.78
32,三交インＧｒａｎｄｅ東京浜松町,4.39,4.11,4.46,4.36,4.23,4.34,4.18
33,アパホテル＜巣鴨駅前＞,4.44,4.22,4.74,4.38,4.22,4.33,4.39
34,京王プレッソイン新宿,3.88,3.73,3.63,3.80,3.47,3.39,3.50
35,ニューセントラルホテル＜東京都＞,3.98,3.85,4.41,3.49,3.69,4.31,3.40
36,京王プレッソイン東銀座,3.94,3.84,4.24,3.86,3.61,3.22,3.48
37,全国町村会館,4.29,3.98,4.44,4.34,3.98,3.78,4.08
38,ヴィアイン新宿,4.21,4.06,4.07,4.17,3.98,3.63,4.06
39,ヴィラフォンテーヌ東京汐留,4.08,3.88,4.36,4.28,3.89,3.68,3.62
40,伝馬の湯　ドーミーインＰＲＥＭＩＵＭ東京小伝馬町,4.43,4.41,4.28,4.42,4.32,4.51,4.49
41,ホテル銀座ダイエー,4.19,3.96,4.44,3.99,3.85,3.41,4.00
42,ザ・プリンス　パークタワー東京,4.62,4.54,4.65,4.60,4.57,4.46,4.56
43,グランドプリンスホテル新高輪,4.07,4.00,4.19,4.02,3.99,3.52,3.89
44,ホテルサンルート新橋,4.19,4.01,4.43,4.05,3.84,3.72,3.48
45,お茶の水ホテルジュラク,4.28,4.03,4.35,4.14,4.01,3.83,4.43
46,ニューオータニイン東京,3.88,3.46,4.61,3.90,3.68,3.53,3.97
47,亀島川温泉　新川の湯　ドーミーイン東京八丁堀,4.32,4.26,4.22,4.01,4.10,4.62,4.34
48,東急ステイ高輪（泉岳寺駅前）（２０１８年２月１５日オープン）,4.51,4.23,4.54,4.68,4.27,4.30,4.17
49,ホテルサンルート銀座,4.20,4.04,4.39,4.18,3.97,3.94,3.78
50,HOTEL　Guest1　ホテルゲストワン上野駅前,4.02,4.01,4.28,4.02,3.88,3.68,3.69
51,京急ＥＸイン　蒲田,4.14,3.92,4.18,4.10,3.96,3.72,4.00
52,京急ＥＸイン　浅草橋駅前,4.09,3.78,4.29,4.07,3.81,3.55,3.53
53,京急ＥＸイン　秋葉原,4.37,4.20,4.27,4.42,4.20,3.91,4.00
54,ホテル　サードニクス東京,4.52,4.32,4.45,4.56,4.28,3.93,4.07
55,ヒルトン東京お台場,3.90,3.83,4.50,4.28,3.82,3.88,4.05
56,ベルケンホテル・神田（２０１８．６．９　ＧＲＡＮＤ　ＯＰＥＮ）,4.34,3.94,4.38,4.51,3.91,3.89,3.29
57,コンフォートホテル東京東日本橋,4.12,4.02,4.50,4.08,3.77,3.68,3.86
58,ダイワロイネットホテル東京赤羽,4.09,3.89,4.16,4.30,3.86,3.93,3.43
